#;$id;libellé SEDA 2;libellé anglais
;;wah;Watubela
;;tif;Tifal
;;kxu;Kui (India)
;;kyf;Kouya
;;klj;Turkic Khalaj
;;vmv;Valley Maidu
;;spk;Sengo
;;bas;Basa (Cameroon)
;;dru;Rukai
;;xad;Adai
;;jiy;Buyuan Jinuo
;;itr;Iteri
;;hve;San Dionisio Del Mar Huave
;;dhw;Dhanwar (Nepal)
;;rad;Rade
;;kvo;Dobel
;;noi;Noiri
;;gea;Geruma
;;jqr;Jaqaru
;;iry;Iraya
;;boq;Bogaya
;;mae;Bo-Rukul
;;nlu;Nchumbulu
;;aau;Abau
;;wmd;Mamaindé
;;gbz;Zoroastrian Dari
;;kwe;Kwerba
;;bgp;Eastern Balochi
;;toi;Tonga (Zambia)
;;daw;Davawenyo
;;lzh;Literary Chinese
;;xzm;Zemgalian
;;ior;Inor
;;sss;Sô
;;rcf;Réunion Creole French
;;vmj;Ixtayutla Mixtec
;;raa;Dungmali
;;zmn;Mbangwe
;;hnn;Hanunoo
;;ske;Seke (Vanuatu)
;;ind;Indonesian
;;ije;Biseni
;;adn;Adang
;;apw;Western Apache
;;rof;Rombo
;;mel;Central Melanau
;;ajg;Aja (Benin)
;;xse;Sempan
;;rea;Rerau
;;pnv;Pinigura
;;dup;Duano
;;gdl;Dirasha
;;klk;Kono (Nigeria)
;;guu;Yanomamö
;;btl;Bhatola
;;plr;Palaka Senoufo
;;mic;Mi'kmaq
;;xmt;Matbat
;;skv;Skou
;;kzb;Kaibobo
;;teg;Teke-Tege
;;nuj;Nyole
;;ads;Adamorobe Sign Language
;;bin;Bini
;;jvn;Caribbean Javanese
;;emn;Eman
;;nck;Nakara
;;isd;Isnag
;;otm;Eastern Highland Otomi
;;zib;Zimbabwe Sign Language
;;sgk;Sangkong
;;ntj;Ngaanyatjarra
;;myz;Classical Mandaic
;;mkk;Byep
;;aur;Aruek
;;sfs;South African Sign Language
;;kde;Makonde
;;erh;Eruwa
;;bhn;Bohtan Neo-Aramaic
;;owl;Old Welsh
;;llf;Hermit
;;gve;Duwet
;;tmu;Iau
;;cal;Carolinian
;;ktc;Kholok
;;guh;Guahibo
;;bro;Brokkat
;;mdn;Mbati
;;rkh;Rakahanga-Manihiki
;;otz;Ixtenco Otomi
;;lis;Lisu
;;tan;Tangale
;;sdl;Saudi Arabian Sign Language
;;asi;Buruwai
;;soq;Kanasi
;;mnx;Manikion
;;nha;Nhanda
;;inm;Minaean
;;aze;Azerbaijani
;;ktw;Kato
;;rej;Rejang
;;aha;Ahanta
;;nab;Southern Nambikuára
;;kwo;Kwomtari
;;tew;Tewa (USA)
;;bdn;Baldemu
;;umb;Umbundu
;;amu;Guerrero Amuzgo
;;dio;Dibo
;;nyc;Nyanga-li
;;cry;Cori
;;smm;Musasa
;;nnb;Nande
;;nyy;Nyakyusa-Ngonde
;;mvu;Marfa
;;lch;Luchazi
;;kbw;Kaiep
;;xwo;Written Oirat
;;gde;Gude
;;ssj;Sausi
;;bpj;Binji
;;arr;Karo (Brazil)
;;lil;Lillooet
;;esk;Northwest Alaska Inupiatun
;;fmu;Far Western Muria
;;mor;Moro
;;has;Haisla
;;wga;Wagaya
;;mbb;Western Bukidnon Manobo
;;knm;Kanamarí
;;ken;Kenyang
;;hei;Heiltsuk
;;luy;Luyia
;;kzx;Kamarian
;;ist;Istriot
;;poi;Highland Popoluca
;;nse;Nsenga
;;diy;Diuwe
;;mtx;Tidaá Mixtec
;;zin;Zinza
;;pag;Pangasinan
;;ert;Eritai
;;ebg;Ebughu
;;mya;Burmese
;;phu;Phuan
;;lue;Luvale
;;blh;Kuwaa
;;rml;Baltic Romani
;;pog;Potiguára
;;mhh;Maskoy Pidgin
;;apz;Safeyoka
;;avv;Avá-Canoeiro
;;ngq;Ngurimi
;;mqp;Manipa
;;bxg;Bangala
;;tin;Tindi
;;kev;Kanikkaran
;;gos;Gronings
;;tns;Tenis
;;lbl;Libon Bikol
;;ytw;Yout Wam
;;spr;Saparua
;;jwi;Jwira-Pepesa
;;rak;Tulu-Bohuai
;;ppt;Pare
;;obt;Old Breton
;;zeh;Eastern Hongshuihe Zhuang
;;wyb;Wangaaybuwan-Ngiyambaa
;;mdz;Suruí Do Pará
;;zaq;Aloápam Zapotec
;;nbs;Namibian Sign Language
;;koc;Kpati
;;bxa;Bauro
;;bzg;Babuza
;;brb;Lave
;;cbh;Cagua
;;gcl;Grenadian Creole English
;;laf;Lafofa
;;gaa;Ga
;;cbo;Izora
;;gat;Kenati
;;oin;Inebu One
;;lul;Olu'bo
;;mud;Mednyj Aleut
;;msh;Masikoro Malagasy
;;mzy;Mozambican Sign Language
;;mbp;Malayo
;;xli;Liburnian
;;jax;Jambi Malay
;;akk;Akkadian
;;bcb;Bainouk-Samik
;;crn;El Nayar Cora
;;huz;Hunzib
;;itk;Judeo-Italian
;;emk;Eastern Maninkakan
;;tep;Tepecano
;;hom;Homa
;;zza;Zaza
;;anl;Anu
;;bxu;China Buriat
;;sll;Salt-Yui
;;bfa;Bari
;;ahp;Aproumu Aizi
;;byt;Berti
;;brh;Brahui
;;kmz;Khorasani Turkish
;;bbt;Mburku
;;xkz;Kurtokha
;;cms;Messapic
;;aku;Akum
;;gbg;Gbanziri
;;pme;Pwaamei
;;urz;Uru-Eu-Wau-Wau
;;kme;Bakole
;;dif;Dieri
;;dep;Pidgin Delaware
;;byf;Bete
;;bgc;Haryanvi
;;ywn;Yawanawa
;;mjo;Malankuravan
;;acr;Achi
;;hno;Northern Hindko
;;nss;Nali
;;irx;Kamberau
;;bym;Bidyara
;;zca;Coatecas Altas Zapotec
;;sbt;Kimki
;;yms;Mysian
;;mfo;Mbe
;;yel;Yela
;;wwr;Warrwa
;;kps;Tehit
;;hml;Luopohe Hmong
;;grb;Grebo
;;tds;Doutai
;;kmv;Karipúna Creole French
;;neb;Toura (Côte d'Ivoire)
;;nwm;Nyamusa-Molo
;;ste;Liana-Seti
;;ddw;Dawera-Daweloor
;;ttz;Tsum
;;pcj;Parenga
;;lek;Leipon
;;ans;Anserma
;;njr;Njerep
;;iwo;Iwur
;;mcz;Mawan
;;zmt;Maringarr
;;gib;Gibanawa
;;caa;Chortí
;;kxd;Brunei
;;tkp;Tikopia
;;lns;Lamnso'
;;bnv;Bonerif
;;est;Estonian
;;akt;Akolet
;;chp;Chipewyan
;;zqe;Qiubei Zhuang
;;rwo;Rawa
;;myq;Forest Maninka
;;llg;Lole
;;bno;Bantoanon
;;bwc;Bwile
;;gid;Gidar
;;box;Buamu
;;bmr;Muinane
;;nwc;Classical Newari
;;djo;Jangkang
;;sro;Campidanese Sardinian
;;xtg;Transalpine Gaulish
;;shk;Shilluk
;;okm;Middle Korean (10th-16th cent.)
;;pan;Panjabi
;;utp;Amba (Solomon Islands)
;;axm;Middle Armenian
;;ldh;Lamja-Dengsa-Tola
;;con;Cofán
;;cby;Carabayo
;;cdf;Chiru
;;xls;Lusitanian
;;nhp;Isthmus-Pajapan Nahuatl
;;kqz;Korana
;;atr;Waimiri-Atroari
;;nyj;Nyanga
;;mlv;Motlav
;;kox;Coxima
;;jmi;Jimi (Nigeria)
;;xrt;Aranama-Tamique
;;qur;Yanahuanca Pasco Quechua
;;aim;Aimol
;;sdp;Sherdukpen
;;sez;Senthang Chin
;;err;Erre
;;kbh;Camsá
;;nev;Nyaheun
;;knq;Kintaq
;;mgg;Mpongmpong
;;jra;Jarai
;;bgy;Benggoi
;;nrb;Nara
;;ksm;Kumba
;;bwr;Bura-Pabir
;;cui;Cuiba
;;omb;East Ambae
;;zor;Rayón Zoque
;;gbl;Gamit
;;kzm;Kais
;;iyo;Mesaka
;;nin;Ninzo
;;krp;Korop
;;nae;Naka'ela
;;ktm;Kurti
;;dti;Ana Tinga Dogon
;;xki;Kenyan Sign Language
;;bjb;Banggarla
;;bkv;Bekwarra
;;mwm;Sar
;;mqy;Manggarai
;;bkc;Baka (Cameroon)
;;tlw;South Wemale
;;lot;Otuho
;;iow;Iowa-Oto
;;ksa;Shuwa-Zamani
;;twr;Southwestern Tarahumara
;;tqu;Touo
;;quk;Chachapoyas Quechua
;;bwy;Cwi Bwamu
;;duf;Dumbea
;;aox;Atorada
;;xct;Classical Tibetan
;;hol;Holu
;;xtn;Northern Tlaxiaco Mixtec
;;tla;Southwestern Tepehuan
;;uya;Doko-Uyanga
;;rup;Macedo-Romanian
;;npn;Mondropolon
;;ijs;Southeast Ijo
;;asw;Australian Aborigines Sign Language
;;wrp;Waropen
;;leb;Lala-Bisa
;;afd;Andai
;;dip;Northeastern Dinka
;;loa;Loloda
;;lhs;Mlahsö
;;hoc;Ho
;;oca;Ocaina
;;xam;/Xam
;;rkm;Marka
;;mtc;Munit
;;xnh;Kuanhua
;;gda;Gade Lohar
;;rgr;Resígaro
;;nct;Chothe Naga
;;brv;Western Bru
;;kit;Agob
;;une;Uneme
;;kdm;Kagoma
;;puu;Punu
;;mxo;Mbowe
;;bgb;Bobongko
;;cdz;Koda
;;gni;Gooniyandi
;;chy;Cheyenne
;;wrd;Warduji
;;mha;Manda (India)
;;kim;Karagas
;;umi;Ukit
;;ppe;Papi
;;qua;Quapaw
;;jdt;Judeo-Tat
;;gpn;Taiap
;;bsv;Baga Sobané
;;bxn;Burduna
;;spb;Sepa (Indonesia)
;;gip;Gimi (West New Britain)
;;rdb;Rudbari
;;giy;Giyug
;;tdb;Panchpargania
;;sju;Ume Sami
;;zsr;Southern Rincon Zapotec
;;olm;Oloma
;;wom;Wom (Nigeria)
;;xbn;Kenaboi
;;sdg;Savi
;;sox;So (Cameroon)
;;nmt;Namonuito
;;nwx;Middle Newar
;;tte;Bwanabwana
;;tik;Tikar
;;nxn;Ngawun
;;mcq;Ese
;;bet;Guiberoua Béte
;;xmz;Mori Bawah
;;soe;Songomeno
;;tlo;Talodi
;;enc;En
;;sqo;Sorkhei
;;kkz;Kaska
;;jat;Jakati
;;mih;Chayuco Mixtec
;;srw;Serua
;;ore;Orejón
;;dhd;Dhundari
;;yan;Mayangna
;;ums;Pendau
;;bac;Badui
;;ail;Aimele
;;anm;Anal
;;btc;Bati (Cameroon)
;;woc;Wogeo
;;nnn;Ngete
;;gvp;Pará Gavião
;;gnu;Gnau
;;akh;Angal Heneng
;;gng;Ngangam
;;xom;Komo (Sudan)
;;pop;Pwapwa
;;deg;Degema
;;gxx;Wè Southern
;;wbt;Wanman
;;nus;Nuer
;;agi;Agariya
;;tsr;Akei
;;ssx;Samberigi
;;xem;Kembayan
;;hms;Southern Qiandong Miao
;;sey;Secoya
;;bri;Mokpwe
;;bji;Burji
;;myo;Anfillo
;;rey;Reyesano
;;xnb;Kanakanabu
;;jul;Jirel
;;doo;Dongo
;;png;Pongu
;;lay;Lama (Myanmar)
;;bfs;Southern Bai
;;rmc;Carpathian Romani
;;kkd;Kinuku
;;gwt;Gawar-Bati
;;phn;Phoenician
;;mcc;Bitur
;;jeg;Jeng
;;aoa;Angolar
;;fao;Faroese
;;ywu;Wumeng Nasu
;;hme;Eastern Huishui Hmong
;;aie;Amara
;;pwo;Pwo Western Karen
;;yog;Yogad
;;grm;Kota Marudu Talantang
;;bgl;Bo (Laos)
;;lak;Laka (Nigeria)
;;lnj;Leningitij
;;mkb;Mal Paharia
;;cjk;Chokwe
;;kwn;Kwangali
;;kpl;Kpala
;;cos;Corsican
;;xcl;Classical Armenian
;;veo;Ventureño
;;okr;Kirike
;;sie;Simaa
;;pkb;Pokomo
;;kcw;Kabwari
;;smf;Auwe
;;lpa;Lelepa
;;txg;Tangut
;;baz;Tunen
;;gbq;Gbaya-Bozoum
;;ses;Koyraboro Senni Songhai
;;biu;Biete
;;hmv;Hmong Dô
;;tsk;Tseku
;;bkh;Bakoko
;;dsi;Disa
;;oaa;Orok
;;mnc;Manchu
;;crg;Michif
;;ilw;Talur
;;gdo;Ghodoberi
;;ppn;Papapana
;;mwq;Mün Chin
;;guk;Gumuz
;;zuy;Zumaya
;;xbi;Kombio
;;aid;Alngith
;;keu;Akebu
;;sda;Toraja-Sa'dan
;;jls;Jamaican Sign Language
;;suj;Shubi
;;nlx;Nahali
;;duk;Uyajitaya
;;txi;Ikpeng
;;gye;Gyem
;;siz;Siwi
;;aog;Angoram
;;bbm;Babango
;;hmu;Hamap
;;ynh;Yangho
;;ckq;Kajakse
;;gil;Gilbertese
;;nrp;North Picene
;;kpk;Kpan
;;sdr;Oraon Sadri
;;gnl;Gangulu
;;gwn;Gwandara
;;hia;Lamang
;;ymh;Mili
;;iya;Iyayu
;;hig;Kamwe
;;nnt;Nanticoke
;;dgs;Dogoso
;;fkv;Kven Finnish
;;agr;Aguaruna
;;wlg;Kunbarlang
;;gyd;Kayardild
;;mra;Mlabri
;;hmp;Northern Mashan Hmong
;;nfl;Ayiwo
;;leh;Lenje
;;lfa;Lefa
;;ybm;Yaben
;;mge;Mango
;;cky;Cakfem-Mushere
;;sbk;Safwa
;;srh;Sarikoli
;;cul;Culina
;;kwg;Sara Kaba Deme
;;skg;Sakalava Malagasy
;;gax;Borana-Arsi-Guji Oromo
;;kpd;Koba
;;wbw;Woi
;;btz;Batak Alas-Kluet
;;bit;Berinomo
;;gza;Ganza
;;tkw;Teanu
;;ksc;Southern Kalinga
;;sot;Southern Sotho
;;res;Reshe
;;asy;Yaosakor Asmat
;;vnk;Vano
;;lhu;Lahu
;;sqq;Sou
;;nuq;Nukumanu
;;ils;International Sign
;;eit;Eitiep
;;rmo;Sinte Romani
;;mbj;Nadëb
;;bnd;Banda (Indonesia)
;;kmi;Kami (Nigeria)
;;brf;Bera
;;bdr;West Coast Bajau
;;mcs;Mambai
;;pox;Polabian
;;shw;Shwai
;;byy;Buya
;;ssm;Semnam
;;nyg;Nyindu
;;ckr;Kairak
;;wep;Westphalien
;;poq;Texistepec Popoluca
;;loh;Narim
;;krf;Koro (Vanuatu)
;;yev;Yapunda
;;tgf;Chalikha
;;sqh;Shau
;;gbc;Garawa
;;crf;Caramanta
;;cow;Cowlitz
;;btq;Batek
;;ump;Umpila
;;ais;Nataoran Amis
;;kbn;Kare (Central African Republic)
;;pka;Ardhamāgadhī Prākrit
;;ruk;Che
;;pnr;Panim
;;maf;Mafa
;;vaf;Vafsi
;;lpn;Long Phuri Naga
;;aky;Aka-Kol
;;orn;Orang Kanaq
;;npl;Southeastern Puebla Nahuatl
;;poc;Poqomam
;;pwr;Powari
;;nyd;Nyore
;;gkn;Gokana
;;hks;Hong Kong Sign Language
;;xco;Chorasmian
;;bcc;Southern Balochi
;;mwx;Mediak
;;zpw;Zaniza Zapotec
;;roc;Cacgia Roglai
;;cse;Czech Sign Language
;;mfa;Pattani Malay
;;rwr;Marwari (India)
;;kpv;Komi-Zyrian
;;bwg;Barwe
;;gdm;Laal
;;jmb;Zumbun
;;mmw;Emae
;;grg;Madi
;;sxo;Sorothaptic
;;spo;Spokane
;;xng;Middle Mongolian
;;nra;Ngom
;;cen;Cen
;;ztu;Güilá Zapotec
;;tub;Tübatulabal
;;kni;Kanufi
;;woa;Tyaraity
;;udl;Wuzlam
;;ima;Mala Malasar
;;czo;Min Zhong Chinese
;;zmi;Negeri Sembilan Malay
;;srp;Serbian
;;suy;Suyá
;;nbw;Southern Ngbandi
;;pcp;Pacahuara
;;luz;Southern Luri
;;hrt;Hértevin
;;top;Papantla Totonac
;;ztl;Lapaguía-Guivini Zapotec
;;smy;Semnani
;;bxk;Bukusu
;;ibr;Ibuoro
;;och;Old Chinese
;;bjt;Balanta-Ganja
;;bmy;Bemba (Democratic Republic of Congo)
;;fau;Fayu
;;kxr;Koro (Papua New Guinea)
;;tir;Tigrinya
;;nio;Nganasan
;;nsx;Nsongo
;;wei;Kiunum
;;piz;Pije
;;kgy;Kyerung
;;omx;Old Mon
;;ahl;Igo
;;mgy;Mbunga
;;mfj;Mefele
;;var;Huarijio
;;dap;Nisi (India)
;;stf;Seta
;;yau;Yuwana
;;npu;Puimei Naga
;;kkw;Teke-Kukuya
;;mlw;Moloko
;;lld;Ladin
;;del;Delaware
;;luf;Laua
;;nij;Ngaju
;;agd;Agarabi
;;dga;Southern Dagaare
;;mko;Mingang Doso
;;keg;Tese
;;kkp;Gugubera
;;gml;Middle Low German
;;hbb;Huba
;;mns;Mansi
;;xmw;Tsimihety Malagasy
;;ncu;Chumburung
;;smk;Bolinao
;;aru;Aruá (Amazonas State)
;;ayo;Ayoreo
;;kmp;Gimme
;;dis;Dimasa
;;kdj;Karamojong
;;acm;Mesopotamian Arabic
;;tqr;Torona
;;bez;Bena (Tanzania)
;;skr;Seraiki
;;ali;Amaimon
;;bxq;Beele
;;elm;Eleme
;;loz;Lozi
;;mcn;Masana
;;tlj;Talinga-Bwisi
;;muu;Yaaku
;;mne;Naba
;;llm;Lasalimu
;;gvn;Kuku-Yalanji
;;nbp;Nnam
;;cdy;Chadong
;;deh;Dehwari
;;oac;Oroch
;;bzr;Biri
;;ntu;Natügu
;;kjp;Pwo Eastern Karen
;;ydk;Yoidik
;;uve;West Uvean
;;bjo;Mid-Southern Banda
;;lgz;Ligenza
;;xtd;Diuxi-Tilantongo Mixtec
;;nis;Nimi
;;fla;Kalispel-Pend d'Oreille
;;gym;Ngäbere
;;yoy;Yoy
;;fqs;Fas
;;sew;Sewa Bay
;;cde;Chenchu
;;lae;Pattani
;;zns;Mangas
;;mkv;Mafea
;;xcg;Cisalpine Gaulish
;;ulw;Ulwa
;;obu;Obulom
;;xmq;Kuku-Mangk
;;mzl;Mazatlán Mixe
;;jrt;Jorto
;;xko;Kiorr
;;kis;Kis
;;ssd;Siroi
;;pys;Paraguayan Sign Language
;;nnf;Ngaing
;;gmn;Gimnime
;;hvc;Haitian Vodoun Culture Language
;;abb;Bankon
;;mce;Itundujia Mixtec
;;gss;Greek Sign Language
;;whk;Wahau Kenyah
;;jaq;Yaqay
;;mtj;Moskona
;;gmd;Mághdì
;;ity;Moyadan Itneg
;;byr;Baruya
;;bar;Bavarian
;;jni;Janji
;;txr;Tartessian
;;mec;Mara
;;kyv;Kayort
;;zkp;São Paulo Kaingáng
;;xsb;Tinà Sambal
;;bqf;Baga Kaloum
;;bso;Buso
;;pol;Polish
;;efi;Efik
;;nza;Tigon Mbembe
;;bvu;Bukit Malay
;;hrm;Horned Miao
;;dgz;Daga
;;loo;Lombo
;;sbb;Simbo
;;dop;Lukpa
;;jet;Manem
;;hoh;Hobyót
;;oyd;Oyda
;;xcy;Cayuse
;;tea;Temiar
;;mba;Higaonon
;;blz;Balantak
;;dbj;Ida'an
;;adl;Galo
;;glh;Northwest Pashayi
;;stt;Budeh Stieng
;;dur;Dii
;;tms;Tima
;;dri;C'lela
;;ukp;Ukpe-Bayobiri
;;xmr;Meroitic
;;nep;Nepali
;;yej;Yevanic
;;mgr;Mambwe-Lungu
;;men;Mende (Sierra Leone)
;;kzy;Kango (Tshopo District)
;;vmu;Muluridyi
;;pap;Papiamento
;;mvn;Minaveha
;;hgm;Hai//om
;;zaj;Zaramo
;;ltu;Latu
;;opo;Opao
;;cbc;Carapana
;;hai;Haida
;;hul;Hula
;;vkl;Kulisusu
;;sar;Saraveca
;;dez;Dengese
;;gao;Gants
;;phl;Phalura
;;kvq;Geba Karen
;;ddd;Dongotono
;;hto;Minica Huitoto
;;mvg;Yucuañe Mixtec
;;thd;Thayore
;;pzn;Para Naga
;;dtt;Toro Tegu Dogon
;;slz;Ma'ya
;;lbt;Lachi
;;rmx;Romam
;;ikt;Western Canadian Inuktitut
;;ark;Arikapú
;;tyi;Teke-Tsaayi
;;alr;Alutor
;;kxa;Kairiru
;;ami;Amis
;;nzz;Nanga Dama Dogon
;;gis;North Giziga
;;hus;Huastec
;;goa;Guro
;;avk;Kotava
;;bqa;Tchumbuli
;;era;Eravallan
;;nhd;Chiripá
;;zhw;Zhoa
;;bsh;Kati
;;gig;Goaria
;;twu;Termanu
;;lcq;Luhu
;;zpk;Tlacolulita Zapotec
;;wms;Wambon
;;zpb;Yautepec Zapotec
;;blq;Baluan-Pam
;;myr;Muniche
;;khg;Khams Tibetan
;;kxy;Kayong
;;bor;Borôro
;;tdf;Talieng
;;dit;Dirari
;;mug;Musgu
;;rif;Tarifit
;;xeg;//Xegwi
;;lbs;Libyan Sign Language
;;zpt;San Vicente Coatlán Zapotec
;;nef;Nefamese
;;ham;Hewa
;;rou;Runga
;;xwa;Kwaza
;;arx;Aruá (Rodonia State)
;;duu;Drung
;;dzl;Dzalakha
;;gbh;Defi Gbe
;;tnl;Lenakel
;;syy;Al-Sayyid Bedouin Sign Language
;;gnc;Guanche
;;isu;Isu (Menchum Division)
;;bys;Burak
;;umm;Umon
;;apv;Alapmunte
;;cri;Sãotomense
;;nog;Nogai
;;zbt;Batui
;;opy;Ofayé
;;bxd;Pela
;;ano;Andoque
;;byl;Bayono
;;szc;Semaq Beri
;;mth;Munggui
;;eme;Emerillon
;;quc;K'iche'
;;rmi;Lomavren
;;xtc;Katcha-Kadugli-Miri
;;nkc;Nkongho
;;mjj;Mawak
;;sgt;Brokpake
;;bhl;Bimin
;;gbu;Gagadu
;;ako;Akurio
;;kzc;Bondoukou Kulango
;;ych;Chesu
;;svc;Vincentian Creole English
;;tsn;Tswana
;;mds;Maria (Papua New Guinea)
;;qwc;Classical Quechua
;;neg;Negidal
;;ekk;Standard Estonian
;;mew;Maaka
;;prl;Peruvian Sign Language
;;amt;Amto
;;xtj;San Juan Teita Mixtec
;;adz;Adzera
;;cjo;Ashéninka Pajonal
;;klp;Kamasa
;;zag;Zaghawa
;;xbw;Kambiwá
;;aas;Aasáx
;;mmi;Musar
;;dtd;Ditidaht
;;jos;Jordanian Sign Language
;;ygl;Yangum Gel
;;adq;Adangbe
;;tii;Tiene
;;tnu;Tay Khang
;;mjh;Mwera (Nyasa)
;;mwj;Maligo
;;acf;Saint Lucian Creole French
;;fng;Fanagalo
;;dwl;Walo Kumbe Dogon
;;ksu;Khamyang
;;xpi;Pictish
;;nyn;Nyankole
;;kzg;Kikai
;;xmh;Kuku-Muminh
;;dec;Dagik
;;lcc;Legenyem
;;fij;Fijian
;;nda;Ndasa
;;deu;German
;;kgk;Kaiwá
;;yih;Western Yiddish
;;hnh;//Ani
;;kry;Kryts
;;bmn;Bina (Papua New Guinea)
;;ghk;Geko Karen
;;soi;Sonha
;;kwb;Kwa
;;xgr;Garza
;;srb;Sora
;;ola;Walungge
;;nri;Chokri Naga
;;wai;Wares
;;agw;Kahua
;;mjs;Miship
;;sjd;Kildin Sami
;;doy;Dompo
;;wmb;Wambaya
;;gdb;Pottangi Ollar Gadaba
;;xke;Kereho
;;nkr;Nukuoro
;;mxj;Miju-Mishmi
;;afe;Putukwam
;;kbt;Abadi
;;aeb;Tunisian Arabic
;;uis;Uisai
;;opa;Okpamheri
;;bbd;Bau
;;kvf;Kabalai
;;mzs;Macanese
;;swh;Swahili (individual language)
;;nme;Mzieme Naga
;;hsh;Hungarian Sign Language
;;bhm;Bathari
;;zrg;Mirgan
;;plp;Palpa
;;cup;Cupeño
;;mjq;Malaryan
;;pno;Panobo
;;gta;Guató
;;rnw;Rungwa
;;nue;Ngundu
;;koi;Komi-Permyak
;;qxn;Northern Conchucos Ancash Quechua
;;ymx;Northern Muji
;;ckx;Caka
;;rem;Remo
;;kws;Kwese
;;xqa;Karakhanid
;;cbw;Kinabalian
;;gnq;Gana
;;ccm;Malaccan Creole Malay
;;cpn;Cherepon
;;dai;Day
;;jku;Labir
;;sns;South West Bay
;;ruo;Istro Romanian
;;vmp;Soyaltepec Mazatec
;;nyr;Nyiha (Malawi)
;;akx;Aka-Kede
;;awa;Awadhi
;;cpg;Cappadocian Greek
;;dow;Doyayo
;;teq;Temein
;;gel;ut-Ma'in
;;mry;Mandaya
;;tgs;Nume
;;swa;Swahili (macrolanguage)
;;bhu;Bhunjia
;;sry;Sera
;;ydd;Eastern Yiddish
;;xmd;Mbudum
;;cay;Cayuga
;;xar;Karami
;;mom;Mangue
;;aqg;Arigidi
;;myg;Manta
;;kli;Kalumpang
;;tkn;Toku-No-Shima
;;aek;Haeke
;;ddj;Jaru
;;lll;Lilau
;;krc;Karachay-Balkar
;;kyn;Northern Binukidnon
;;tzj;Tz'utujil
;;nms;Letemboi
;;awv;Jair Awyu
;;bkw;Bekwel
;;paf;Paranawát
;;nnz;Nda'nda'
;;lng;Langobardic
;;njj;Njen
;;tyr;Tai Daeng
;;twh;Tai Dón
;;mwk;Kita Maninkakan
;;zhb;Zhaba
;;puy;Purisimeño
;;nou;Ewage-Notu
;;enf;Forest Enets
;;jeh;Jeh
;;tur;Turkish
;;laq;Qabiao
;;old;Mochi
;;heh;Hehe
;;aue;=/Kx'au//'ein
;;tpl;Tlacoapa Me'phaa
;;mpz;Mpi
;;blg;Balau
;;ttn;Towei
;;slk;Slovak
;;arj;Arapaso
;;rpt;Rapting
;;bpp;Kaure
;;jua;Júma
;;apo;Ambul
;;frm;Middle French (ca. 1400-1600)
;;coh;Chonyi-Dzihana-Kauma
;;oia;Oirata
;;wii;Minidien
;;ggt;Gitua
;;yuw;Yau (Morobe Province)
;;onu;Unua
;;all;Allar
;;bbk;Babanki
;;agz;Mt. Iriga Agta
;;dbq;Daba
;;idb;Indo-Portuguese
;;rar;Rarotongan
;;ngk;Ngalkbun
;;mwv;Mentawai
;;thy;Tha
;;bic;Bikaru
;;ngg;Ngbaka Manza
;;yle;Yele
;;xhr;Hernican
;;prp;Parsi
;;mku;Konyanka Maninka
;;thr;Rana Tharu
;;ksy;Kharia Thar
;;omr;Old Marathi
;;kud;'Auhelawa
;;swi;Sui
;;bib;Bissa
;;mgh;Makhuwa-Meetto
;;lef;Lelemi
;;xep;Epi-Olmec
;;arg;Aragonese
;;zua;Zeem
;;ese;Ese Ejja
;;pmf;Pamona
;;tpa;Taupota
;;sbh;Sori-Harengan
;;kvl;Brek Karen
;;hmi;Northern Huishui Hmong
;;gka;Guya
;;apc;North Levantine Arabic
;;ogu;Ogbronuagum
;;alf;Alege
;;pmt;Tuamotuan
;;jup;Hupdë
;;plh;Paulohi
;;nud;Ngala
;;bee;Byangsi
;;ror;Rongga
;;pna;Punan Bah-Biau
;;obm;Moabite
;;krh;Kurama
;;ogg;Ogbogolo
;;jaj;Zazao
;;zen;Zenaga
;;add;Dzodinka
;;bye;Pouye
;;mpv;Mungkip
;;fil;Filipino
;;bdg;Bonggi
;;ktq;Katabaga
;;tpj;Tapieté
;;bep;Besoa
;;acw;Hijazi Arabic
;;hrz;Harzani
;;zsl;Zambian Sign Language
;;mxr;Murik (Malaysia)
;;bci;Baoulé
;;ysl;Yugoslavian Sign Language
;;txh;Thracian
;;szd;Seru
;;xub;Betta Kurumba
;;tav;Tatuyo
;;sue;Suena
;;don;Toura (Papua New Guinea)
;;wau;Waurá
;;nln;Durango Nahuatl
;;car;Galibi Carib
;;kgs;Kumbainggar
;;ktf;Kwami
;;meu;Motu
;;mpq;Matís
;;cjv;Chuave
;;idi;Idi
;;mbo;Mbo (Cameroon)
;;kiz;Kisi
;;tbd;Kaki Ae
;;kdq;Koch
;;ncg;Nisga'a
;;xed;Hdi
;;mql;Mbelime
;;chj;Ojitlán Chinantec
;;mit;Southern Puebla Mixtec
;;kuh;Kushi
;;azo;Awing
;;axg;Mato Grosso Arára
;;snz;Sinsauru
;;tiy;Tiruray
;;lop;Lopa
;;mgo;Meta'
;;onn;Onobasulu
;;esq;Esselen
;;naf;Nabak
;;lmk;Lamkang
;;vep;Veps
;;scv;Sheni
;;kcu;Kami (Tanzania)
;;pgu;Pagu
;;mxz;Central Masela
;;kfe;Kota (India)
;;mli;Malimpung
;;asb;Assiniboine
;;kan;Kannada
;;mlj;Miltu
;;cga;Changriwa
;;cbd;Carijona
;;swv;Shekhawati
;;bve;Berau Malay
;;nmp;Nimanbur
